"MUNICÍPIO", "TOTAL"
"Abaiara", 10038
"Acarape", 14027
"Acaraú", 65264
"Acopiara", 44962
"Aiuaba", 14076
"Alcântaras", 11369
"Altaneira", 6782
"Alto Santo", 14155
"Amontada", 42156
"Antonina do Norte", 7245
"Apuiarés", 12928
"Aquiraz", 80645
"Aracati", 75113
"Aracoiaba", 25553
"Ararendá", 11096
"Araripe", 19783
"Aratuba", 11224
"Arneiroz", 7429
"Assaré", 21697
"Aurora", 23714
"Baixio", 5704
"Banabuiú", 17195
"Barbalha", 75033
"Barreira", 22392
"Barro", 19381
"Barroquinha", 14567
"Baturité", 35218
"Beberibe", 53114
"Bela Cruz", 32775
"Boa Viagem", 50411
"Brejo Santo", 51090
"Camocim", 62326
"Campos Sales", 25135
"Canindé", 74174
"Capistrano", 17254
"Caridade", 16377
"Cariré", 17632
"Caririaçu", 26320
"Cariús", 17015
"Carnaubal", 17210
"Cascavel", 72720
"Catarina", 10243
"Catunda", 10444
"Caucaia", 355679
"Cedro", 22344
"Chaval", 12462
"Choró", 12113
"Chorozinho", 20163
"Coreaú", 20953
"Crateús", 76390
"Crato", 131050
"Croatá", 17481
"Cruz", 29761
"Deputado Irapuan Pinheiro", 8932
"Ereré", 6474
"Eusébio", 74170
"Farias Brito", 18217
"Forquilha", 24173
"Fortaleza", 2428708
"Fortim", 17294
"Frecheirinha", 15657
"General Sampaio", 6734
"Graça", 13801
"Granja", 53344
"Granjeiro", 4841
"Groaíras", 10910
"Guaiúba", 24325
"Guaraciaba do Norte", 42053
"Guaramiranga", 5654
"Hidrolândia", 17855
"Horizonte", 74755
"Ibaretama", 11956
"Ibiapina", 23965
"Ibicuitinga", 11611
"Icapuí", 21433
"Icó", 62642
"Iguatu", 98064
"Independência", 24024
"Ipaporanga", 11575
"Ipaumirim", 12083
"Ipu", 41081
"Ipueiras", 36798
"Iracema", 14001
"Irauçuba", 23915
"Itaiçaba", 7536
"Itaitinga", 64650
"Itapajé", 46426
"Itapipoca", 131123
"Itapiúna", 17841
"Itarema", 42957
"Itatira", 20424
"Jaguaretama", 17232
"Jaguaribara", 10356
"Jaguaribe", 33726
"Jaguaruana", 31701
"Jardim", 27411
"Jati", 7861
"Jijoca de Jericoacoara", 25555
"Juazeiro do Norte", 286120
"Jucás", 23922
"Lavras da Mangabeira", 30802
"Limoeiro do Norte", 59560
"Madalena", 16896
"Maracanaú", 234509
"Maranguape", 105093
"Marco", 25799
"Martinópole", 10846
"Massapê", 37697
"Mauriti", 45561
"Meruoca", 15157
"Milagres", 25900
"Milhã", 14123
"Miraíma", 14196
"Missão Velha", 36822
"Mombaça", 37735
"Monsenhor Tabosa", 17149
"Morada Nova", 61443
"Moraújo", 8254
"Morrinhos", 22753
"Mucambo", 13666
"Mulungu", 10569
"Nova Olinda", 15399
"Nova Russas", 30699
"Novo Oriente", 27545
"Ocara", 24493
"Orós", 19675
"Pacajus", 70983
"Pacatuba", 81524
"Pacoti", 11186
"Pacujá", 6175
"Palhano", 9346
"Palmácia", 10242
"Paracuru", 38980
"Paraipaba", 32216
"Parambu", 31445
"Paramoti", 10384
"Pedra Branca", 40187
"Penaforte", 8972
"Pentecoste", 37813
"Pereiro", 15274
"Pindoretama", 23391
"Piquet Carneiro", 16616
"Pires Ferreira", 10606
"Poranga", 12065
"Porteiras", 17050
"Potengi", 8833
"Potiretama", 5974
"Quiterianópolis", 20213
"Quixadá", 84168
"Quixelô", 15910
"Quixeramobim", 82177
"Quixeré", 20874
"Redenção", 27214
"Reriutaba", 18606
"Russas", 72928
"Saboeiro", 13854
"Salitre", 16633
"Santana do Acaraú", 30628
"Santana do Cariri", 16954
"Santa Quitéria", 40183
"São Benedito", 47640
"São Gonçalo do Amarante", 54143
"São João do Jaguaribe", 5855
"São Luís do Curu", 10822
"Senador Pompeu", 24266
"Senador Sá", 7262
"Sobral", 203023
"Solonópole", 18179
"Tabuleiro do Norte", 30652
"Tamboril", 24815
"Tarrafas", 7529
"Tauá", 61227
"Tejuçuoca", 17154
"Tianguá", 81506
"Trairi", 58415
"Tururu", 15412
"Ubajara", 32767
"Umari", 6871
"Umirim", 17470
"Uruburetama", 20189
"Uruoca", 13746
"Varjota", 18105
"Várzea Alegre", 38984
"Viçosa do Ceará", 59712
