ID,Município,Total de Pessoas atendidas pelo SUS,População,Porcentagem da população atendida pelo SUS,PIB
1,Abaiara,231,10038,2.3%,9859.67
2,Acarape,495,14027,3.53%,11888.66
3,Acaraú,2368,65264,3.63%,16051.99
4,Acopiara,1331,44962,2.96%,10322.74
5,Aiuaba,570,14076,4.05%,8621.26
6,Alcântaras,211,11369,1.86%,8289.87
7,Altaneira,205,6782,3.02%,9680.24
8,Alto Santo,510,14155,3.6%,14447.21
9,Amontada,1302,42156,3.09%,15057.63
10,Antonina Do Norte,192,7245,2.65%,10666.5
11,Apuiarés,219,12928,1.69%,8206.35
12,Aquiraz,1926,80645,2.39%,47245.19
13,Aracati,772,75113,1.03%,22637.56
14,Aracoiaba,703,25553,2.75%,10015.85
15,Ararendá,206,11096,1.86%,9722.66
16,Araripe,895,19783,4.52%,9581.32
17,Aratuba,387,11224,3.45%,12896.07
18,Arneiroz,163,7429,2.19%,8947.96
19,Assaré,549,21697,2.53%,10080.26
20,Aurora,586,23714,2.47%,8824.53
21,Baixio,146,5704,2.56%,10690.19
22,Banabuiú,484,17195,2.81%,14199.25
23,Barbalha,967,75033,1.29%,21815.78
24,Barreira,436,22392,1.95%,10566.4
25,Barro,363,19381,1.87%,10599.42
26,Barroquinha,654,14567,4.49%,8848.31
27,Baturité,805,35218,2.29%,12408.24
28,Beberibe,1445,53114,2.72%,19497.48
29,Bela Cruz,864,32775,2.64%,9809.26
30,Boa Viagem,1387,50411,2.75%,9861.34
31,Brejo Santo,1172,51090,2.29%,16277.2
32,Camocim,1452,62326,2.33%,13087.13
33,Campos Sales,943,25135,3.75%,10626.15
34,Canindé,1618,74174,2.18%,11761.86
35,Capistrano,421,17254,2.44%,9916.38
36,Caridade,650,16377,3.97%,8090.43
37,Cariré,504,17632,2.86%,10455.04
38,Caririaçu,345,26320,1.31%,9372.28
39,Cariús,407,17015,2.39%,9678.31
40,Carnaubal,275,17210,1.6%,9388.72
41,Cascavel,1494,72720,2.05%,14777
42,Catarina,272,10243,2.66%,7324.19
43,Catunda,255,10444,2.44%,10766.7
44,Caucaia,2930,355679,0.82%,28229.51
45,Cedro,561,22344,2.51%,9656.59
46,Chaval,695,12462,5.58%,8413.49
47,Choró,546,12113,4.51%,13153.2
48,Chorozinho,377,20163,1.87%,12830.19
49,Coreaú,577,20953,2.75%,9643.95
50,Crateús,1268,76390,1.66%,12661.3
51,Crato,2266,131050,1.73%,13976.14
52,Croatá,460,17481,2.63%,12331
53,Cruz,579,29761,1.95%,14834.67
54,Deputado Irapuan Pinheiro,88,8932,0.99%,10402.46
55,Ererê,39,N/A,N/A%,N/A
56,Eusébio,512,74170,0.69%,65008.58
57,Farias Brito,644,18217,3.54%,10462.89
58,Forquilha,523,24173,2.16%,12356.43
59,Fortaleza,9364,2428708,0.39%,27164.45
60,Fortim,277,17294,1.6%,18625.44
61,Frecheirinha,212,15657,1.35%,19437.91
62,General Sampaio,242,6734,3.59%,11196.45
63,Graça,259,13801,1.88%,8998.32
64,Granja,2518,53344,4.72%,8508.38
65,Granjeiro,96,4841,1.98%,10730.92
66,Groaíras,168,10910,1.54%,9872.09
67,Guaiúba,571,24325,2.35%,8751.83
68,Guaraciaba Do Norte,1140,42053,2.71%,16353.68
69,Guaramiranga,134,5654,2.37%,15847.79
70,Hidrolândia,442,17855,2.48%,9193.31
71,Horizonte,625,74755,0.84%,30381.03
72,Ibaretama,551,11956,4.61%,9881.62
73,Ibiapina,472,23965,1.97%,13850.18
74,Ibicuitinga,247,11611,2.13%,9815.44
75,Icapuí,503,21433,2.35%,20364.73
76,Icó,1819,62642,2.9%,10797.31
77,Iguatu,1213,98064,1.24%,18380.39
78,Independência,627,24024,2.61%,11712.06
79,Ipaporanga,224,11575,1.94%,9841.12
80,Ipaumirim,305,12083,2.52%,11469.63
81,Ipu,1002,41081,2.44%,12333.79
82,Ipueiras,630,36798,1.71%,8620.09
83,Iracema,257,14001,1.84%,13607.57
84,Irauçuba,855,23915,3.58%,9009.98
85,Itaiçaba,114,7536,1.51%,10482.61
86,Itaitinga,546,64650,0.84%,32560.63
87,Itapagé,1070,N/A,N/A%,N/A
88,Itapipoca,7620,131123,5.81%,13547.33
89,Itapiúna,1178,17841,6.6%,8246.45
90,Itarema,3080,42957,7.17%,18001.79
91,Itatira,1591,20424,7.79%,7903.96
92,Jaguaretama,831,17232,4.82%,12498.97
93,Jaguaribara,441,10356,4.26%,13298.99
94,Jaguaribe,1214,33726,3.6%,16222.68
95,Jaguaruana,1544,31701,4.87%,16694.97
96,Jardim,1655,27411,6.04%,10819.64
97,Jati,335,7861,4.26%,15917.63
98,Jijoca De Jericoacoara,746,25555,2.92%,27106.16
