ID,Município,Total de Pessoas atendidas pelo SUS,População,Porcentagem da população atendida pelo SUS,PIB,População exposta ao risco
1,Abaiara,231,10038.0,2.3%,9859.67,0.0
2,Acarape,495,14027.0,3.53%,11888.66,0.0
3,Acaraú,2368,65264.0,3.63%,16051.99,1531.0
4,Acopiara,1331,44962.0,2.96%,10322.74,0.0
5,Aiuaba,570,14076.0,4.05%,8621.26,0.0
6,Alcântaras,211,11369.0,1.86%,8289.87,0.0
7,Altaneira,205,6782.0,3.02%,9680.24,0.0
8,Alto Santo,510,14155.0,3.6%,14447.21,0.0
9,Amontada,1302,42156.0,3.09%,15057.63,984.0
10,Antonina Do Norte,192,7245.0,2.65%,10666.5,0.0
11,Apuiarés,219,12928.0,1.69%,8206.35,0.0
12,Aquiraz,1926,80645.0,2.39%,47245.19,0.0
13,Aracati,772,75113.0,1.03%,22637.56,0.0
14,Aracoiaba,703,25553.0,2.75%,10015.85,0.0
15,Ararendá,206,11096.0,1.86%,9722.66,0.0
16,Araripe,895,19783.0,4.52%,9581.32,0.0
17,Aratuba,387,11224.0,3.45%,12896.07,0.0
18,Arneiroz,163,7429.0,2.19%,8947.96,0.0
19,Assaré,549,21697.0,2.53%,10080.26,0.0
20,Aurora,586,23714.0,2.47%,8824.53,0.0
21,Baixio,146,5704.0,2.56%,10690.19,0.0
22,Banabuiú,484,17195.0,2.81%,14199.25,0.0
23,Barbalha,967,75033.0,1.29%,21815.78,0.0
24,Barreira,436,22392.0,1.95%,10566.4,0.0
25,Barro,363,19381.0,1.87%,10599.42,0.0
26,Barroquinha,654,14567.0,4.49%,8848.31,0.0
27,Baturité,805,35218.0,2.29%,12408.24,1073.0
28,Beberibe,1445,53114.0,2.72%,19497.48,0.0
29,Bela Cruz,864,32775.0,2.64%,9809.26,526.0
30,Boa Viagem,1387,50411.0,2.75%,9861.34,0.0
31,Brejo Santo,1172,51090.0,2.29%,16277.2,0.0
32,Camocim,1452,62326.0,2.33%,13087.13,0.0
33,Campos Sales,943,25135.0,3.75%,10626.15,0.0
34,Canindé,1618,74174.0,2.18%,11761.86,235.0
35,Capistrano,421,17254.0,2.44%,9916.38,0.0
36,Caridade,650,16377.0,3.97%,8090.43,317.0
37,Cariré,504,17632.0,2.86%,10455.04,0.0
38,Caririaçu,345,26320.0,1.31%,9372.28,0.0
39,Cariús,407,17015.0,2.39%,9678.31,0.0
40,Carnaubal,275,17210.0,1.6%,9388.72,0.0
41,Cascavel,1494,72720.0,2.05%,14777.0,0.0
42,Catarina,272,10243.0,2.66%,7324.19,0.0
43,Catunda,255,10444.0,2.44%,10766.7,0.0
44,Caucaia,2930,355679.0,0.82%,28229.51,16463.0
45,Cedro,561,22344.0,2.51%,9656.59,0.0
46,Chaval,695,12462.0,5.58%,8413.49,396.0
47,Choró,546,12113.0,4.51%,13153.2,0.0
48,Chorozinho,377,20163.0,1.87%,12830.19,0.0
49,Coreaú,577,20953.0,2.75%,9643.95,1663.0
50,Crateús,1268,76390.0,1.66%,12661.3,2665.0
51,Crato,2266,131050.0,1.73%,13976.14,3851.0
52,Croatá,460,17481.0,2.63%,12331.0,0.0
53,Cruz,579,29761.0,1.95%,14834.67,0.0
54,Deputado Irapuan Pinheiro,88,8932.0,0.99%,10402.46,0.0
55,Ererê,39,,N/A%,,
56,Eusébio,512,74170.0,0.69%,65008.58,0.0
57,Farias Brito,644,18217.0,3.54%,10462.89,0.0
58,Forquilha,523,24173.0,2.16%,12356.43,0.0
59,Fortaleza,9364,2428708.0,0.39%,27164.45,102836.0
60,Fortim,277,17294.0,1.6%,18625.44,0.0
61,Frecheirinha,212,15657.0,1.35%,19437.91,0.0
62,General Sampaio,242,6734.0,3.59%,11196.45,0.0
63,Graça,259,13801.0,1.88%,8998.32,0.0
64,Granja,2518,53344.0,4.72%,8508.38,3764.0
65,Granjeiro,96,4841.0,1.98%,10730.92,0.0
66,Groaíras,168,10910.0,1.54%,9872.09,0.0
67,Guaiúba,571,24325.0,2.35%,8751.83,0.0
68,Guaraciaba Do Norte,1140,42053.0,2.71%,16353.68,0.0
69,Guaramiranga,134,5654.0,2.37%,15847.79,0.0
70,Hidrolândia,442,17855.0,2.48%,9193.31,0.0
71,Horizonte,625,74755.0,0.84%,30381.03,0.0
72,Ibaretama,551,11956.0,4.61%,9881.62,0.0
73,Ibiapina,472,23965.0,1.97%,13850.18,0.0
74,Ibicuitinga,247,11611.0,2.13%,9815.44,0.0
75,Icapuí,503,21433.0,2.35%,20364.73,0.0
76,Icó,1819,62642.0,2.9%,10797.31,3480.0
77,Iguatu,1213,98064.0,1.24%,18380.39,3990.0
78,Independência,627,24024.0,2.61%,11712.06,0.0
79,Ipaporanga,224,11575.0,1.94%,9841.12,0.0
80,Ipaumirim,305,12083.0,2.52%,11469.63,0.0
81,Ipu,1002,41081.0,2.44%,12333.79,0.0
82,Ipueiras,630,36798.0,1.71%,8620.09,0.0
83,Iracema,257,14001.0,1.84%,13607.57,0.0
84,Irauçuba,855,23915.0,3.58%,9009.98,550.0
85,Itaiçaba,114,7536.0,1.51%,10482.61,4219.0
86,Itaitinga,546,64650.0,0.84%,32560.63,0.0
