MUNICÍPIO,PIB
Abaiara,9859.67
Acarape,11888.66
Acaraú,16051.99
Acopiara,10322.74
Aiuaba,8621.26
Alcântaras,8289.87
Altaneira,9680.24
Alto Santo,14447.21
Amontada,15057.63
Antonina do Norte,10666.5
Apuiarés,8206.35
Aquiraz,47245.19
Aracati,22637.56
Aracoiaba,10015.85
Ararendá,9722.66
Araripe,9581.32
Aratuba,12896.07
Arneiroz,8947.96
Assaré,10080.26
Aurora,8824.53
Baixio,10690.19
Banabuiú,14199.25
Barbalha,21815.78
Barreira,10566.4
Barro,10599.42
Barroquinha,8848.31
Baturité,12408.24
Beberibe,19497.48
Bela Cruz,9809.26
Boa Viagem,9861.34
Brejo Santo,16277.2
Camocim,13087.13
Campos Sales,10626.15
Canindé,11761.86
Capistrano,9916.38
Caridade,8090.43
Cariré,10455.04
Caririaçu,9372.28
Cariús,9678.31
Carnaubal,9388.72
Cascavel,14777
Catarina,7324.19
Catunda,10766.7
Caucaia,28229.51
Cedro,9656.59
Chaval,8413.49
Choró,13153.2
Chorozinho,12830.19
Coreaú,9643.95
Crateús,12661.3
Crato,13976.14
Croatá,12331
Cruz,14834.67
Deputado Irapuan Pinheiro,10402.46
Ereré,11123.49
Eusébio,65008.58
Farias Brito,10462.89
Forquilha,12356.43
Fortaleza,27164.45
Fortim,18625.44
Frecheirinha,19437.91
General Sampaio,11196.45
Graça,8998.32
Granja,8508.38
Granjeiro,10730.92
Groaíras,9872.09
Guaiúba,8751.83
Guaraciaba do Norte,16353.68
Guaramiranga,15847.79
Hidrolândia,9193.31
Horizonte,30381.03
Ibaretama,9881.62
Ibiapina,13850.18
Ibicuitinga,9815.44
Icapuí,20364.73
Icó,10797.31
Iguatu,18380.39
Independência,11712.06
Ipaporanga,9841.12
Ipaumirim,11469.63
Ipu,12333.79
Ipueiras,8620.09
Iracema,13607.57
Irauçuba,9009.98
Itaiçaba,10482.61
Itaitinga,32560.63
Itapajé,11124.48
Itapipoca,13547.33
Itapiúna,8246.45
Itarema,18001.79
Itatira,7903.96
Jaguaretama,12498.97
Jaguaribara,13298.99
Jaguaribe,16222.68
Jaguaruana,16694.97
Jardim,10819.64
Jati,15917.63
Jijoca de Jericoacoara,27106.16
Juazeiro do Norte,18381.08
Jucás,12801.05
Lavras da Mangabeira,10906.84
Limoeiro do Norte,23631.38
Madalena,8728
Maracanaú,53410.24
Maranguape,12527.08
Marco,14052.51
Martinópole,8444.53
Massapê,9626.56
Mauriti,10698.7
Meruoca,8445.56
Milagres,10477.64
Milhã,14874.7
Miraíma,8062.95
Missão Velha,14506.46
Mombaça,10174.82
Monsenhor Tabosa,9308.34
Morada Nova,20731.68
Moraújo,8555.95
Morrinhos,8462.73
Mucambo,9016.67
Mulungu,11197.64
Nova Olinda,10341.85
Nova Russas,10371.24
Novo Oriente,9854.38
Ocara,10972.95
Orós,10256.74
Pacajus,18349.45
Pacatuba,14421.49
Pacoti,12049.56
Pacujá,9130.3
Palhano,10443.35
Palmácia,8494.35
Paracuru,15648.56
Paraipaba,16102.82
Parambu,9196.54
Paramoti,9034.57
Pedra Branca,8992.69
Penaforte,13268.38
Pentecoste,12741.76
Pereiro,34273.12
Pindoretama,13110.66
Piquet Carneiro,9418.47
Pires Ferreira,7621.25
Poranga,8852.69
Porteiras,12491.62
Potengi,9903.27
Potiretama,14998.54
Quiterianópolis,8694.35
Quixadá,12484.6
Quixelô,12336.81
Quixeramobim,17008.8
Quixeré,28397.62
Redenção,14018.29
Reriutaba,10433.27
Russas,14563.46
Saboeiro,10779.74
Salitre,9529.97
Santana do Acaraú,8525.54
Santana do Cariri,8985.52
Santa Quitéria,14495.07
São Benedito,12970.59
São Gonçalo do Amarante,175103.17
São João do Jaguaribe,14277.9
São Luís do Curu,10171.88
Senador Pompeu,13859.14
Senador Sá,8090.43
Sobral,25396.38
Solonópole,16492.67
Tabuleiro do Norte,14046.37
Tamboril,10773.18
Tarrafas,10015.43
Tauá,12012.28
Tejuçuoca,7006.68
Tianguá,22470.08
Trairi,19683.75
Tururu,8324.01
Ubajara,18190.85
Umari,8971.66
Umirim,8650.25
Uruburetama,13475.87
Uruoca,21318.78
Varjota,20292.61
Várzea Alegre,11395.42
Viçosa do Ceará,9744.18
