"Local", "População exposta ao risco"
"Abaiara", 99999999999993
"Acarape", 99999999999993
"Acaraú", 1531
"Acopiara", 99999999999993
"Aiuaba", 99999999999993
"Alcântaras", 99999999999993
"Altaneira", 99999999999993
"Alto Santo", 99999999999993
"Amontada", 984
"Antonina do Norte", 99999999999993
"Apuiarés", 99999999999993
"Aquiraz", 99999999999993
"Aracati", 99999999999993
"Aracoiaba", 99999999999993
"Ararendá", 99999999999993
"Araripe", 99999999999993
"Aratuba", 99999999999993
"Arneiroz", 99999999999993
"Assaré", 99999999999993
"Aurora", 99999999999993
"Baixio", 99999999999993
"Banabuiú", 99999999999993
"Barbalha", 99999999999993
"Barreira", 99999999999993
"Barro", 99999999999993
"Barroquinha", 99999999999993
"Baturité", 1073
"Beberibe", 99999999999993
"Bela Cruz", 526
"Boa Viagem", 99999999999993
"Brejo Santo", 99999999999993
"Camocim", 99999999999993
"Campos Sales", 99999999999993
"Canindé", 235
"Capistrano", 99999999999993
"Caridade", 317
"Cariré", 99999999999993
"Caririaçu", 99999999999993
"Cariús", 99999999999993
"Carnaubal", 99999999999993
"Cascavel", 99999999999993
"Catarina", 99999999999993
"Catunda", 99999999999993
"Caucaia", 16463
"Cedro", 99999999999993
"Chaval", 396
"Choró", 99999999999993
"Chorozinho", 99999999999993
"Coreaú", 1663
"Crateús", 2665
"Crato", 3851
"Croatá", 99999999999993
"Cruz", 99999999999993
"Deputado Irapuan Pinheiro", 99999999999993
"Ereré", 99999999999993
"Eusébio", 99999999999993
"Farias Brito", 99999999999993
"Forquilha", 99999999999993
"Fortaleza", 102836
"Fortim", 99999999999993
"Frecheirinha", 99999999999993
"General Sampaio", 99999999999993
"Graça", 99999999999993
"Granja", 3764
"Granjeiro", 99999999999993
"Groaíras", 99999999999993
"Guaiúba", 99999999999993
"Guaraciaba do Norte", 99999999999993
"Guaramiranga", 99999999999993
"Hidrolândia", 99999999999993
"Horizonte", 99999999999993
"Ibaretama", 99999999999993
"Ibiapina", 99999999999993
"Ibicuitinga", 99999999999993
"Icapuí", 99999999999993
"Icó", 3480
"Iguatu", 3990
"Independência", 99999999999993
"Ipaporanga", 99999999999993
"Ipaumirim", 99999999999993
"Ipu", 99999999999993
"Ipueiras", 99999999999993
"Iracema", 99999999999993
"Irauçuba", 550
"Itaiçaba", 4219
"Itaitinga", 99999999999993
"Itapajé", 99999999999993
"Itapipoca", 99999999999993
"Itapiúna", 99999999999993
"Itarema", 99999999999993
"Itatira", 99999999999993
"Jaguaretama", 99999999999993
"Jaguaribara", 99999999999993
"Jaguaribe", 99999999999993
"Jaguaruana", 4092
"Jardim", 99999999999993
"Jati", 99999999999993
"Jijoca de Jericoacoara", 99999999999993
"Juazeiro do Norte", 3567
"Jucás", 99999999999993
"Lavras da Mangabeira", 2427
"Limoeiro do Norte", 94
"Madalena", 99999999999993
"Maracanaú", 568
"Maranguape", 99999999999993
"Marco", 1646
"Martinópole", 99999999999993
"Massapê", 99999999999993
"Mauriti", 99999999999993
"Meruoca", 1550
"Milagres", 99999999999993
"Milhã", 99999999999993
"Miraíma", 99999999999993
"Missão Velha", 53
"Mombaça", 99999999999993
"Monsenhor Tabosa", 99999999999993
"Morada Nova", 5549
"Moraújo", 687
"Morrinhos", 2174
"Mucambo", 99999999999993
"Mulungu", 99999999999993
"Nova Olinda", 99999999999993
"Nova Russas", 99999999999993
"Novo Oriente", 99999999999993
"Ocara", 99999999999993
"Orós", 99999999999993
"Pacajus", 99999999999993
"Pacatuba", 99999999999993
"Pacoti", 279
"Pacujá", 1361
"Palhano", 99999999999993
"Palmácia", 99999999999993
"Paracuru", 99999999999993
"Paraipaba", 99999999999993
"Parambu", 99999999999993
"Paramoti", 99999999999993
"Pedra Branca", 99999999999993
"Penaforte", 99999999999993
"Pentecoste", 99999999999993
"Pereiro", 99999999999993
"Pindoretama", 99999999999993
"Piquet Carneiro", 99999999999993
"Pires Ferreira", 99999999999993
"Poranga", 99999999999993
"Porteiras", 99999999999993
"Potengi", 99999999999993
"Potiretama", 99999999999993
"Quiterianópolis", 99999999999993
"Quixadá", 99999999999993
"Quixelô", 99999999999993
"Quixeramobim", 1357
"Quixeré", 106
"Redenção", 99999999999993
"Reriutaba", 99999999999993
"Russas", 309
"Saboeiro", 99999999999993
"Salitre", 99999999999993
"Santana do Acaraú", 99999999999993
"Santana do Cariri", 99999999999993
"Santa Quitéria", 99999999999993
"São Benedito", 99999999999993
"São Gonçalo do Amarante", 99999999999993
"São João do Jaguaribe", 99999999999993
"São Luís do Curu", 99999999999993
"Senador Pompeu", 99999999999993
"Senador Sá", 99999999999993
"Sobral", 10494
"Solonópole", 99999999999993
"Tabuleiro do Norte", 696
"Tamboril", 99999999999993
"Tarrafas", 99999999999993
"Tauá", 99999999999993
"Tejuçuoca", 99999999999993
"Tianguá", 99999999999993
"Trairi", 99999999999993
"Tururu", 99999999999993
"Ubajara", 99999999999993
"Umari", 99999999999993
"Umirim", 99999999999993
"Uruburetama", 99999999999993
"Uruoca", 99999999999993
"Varjota", 99999999999993
"Várzea Alegre", 99999999999993
"Viçosa do Ceará", 197
